11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
21,2024-04-09 09:36:00+00:00,2958.0,2958.39990234375,2957.050048828125,2958.10009765625,2958.10009765625,3125,1712655360,2958.3541463216147,short_entry
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
21,2024-04-09 09:36:00+00:00,2958.0,2958.39990234375,2957.050048828125,2958.10009765625,2958.10009765625,3125,1712655360,2958.3541463216147,short_entry
22,2024-04-09 09:37:00+00:00,2958.10009765625,2960.35009765625,2958.10009765625,2960.0,2960.0,3911,1712655420,2958.5208129882812,0
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
21,2024-04-09 09:36:00+00:00,2958.0,2958.39990234375,2957.050048828125,2958.10009765625,2958.10009765625,3125,1712655360,2958.3541463216147,short_entry
22,2024-04-09 09:37:00+00:00,2958.10009765625,2960.35009765625,2958.10009765625,2960.0,2960.0,3911,1712655420,2958.5208129882812,0
23,2024-04-09 09:38:00+00:00,2960.0,2960.050048828125,2959.0,2959.050048828125,2959.050048828125,10522,1712655480,2958.5249837239585,0
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
21,2024-04-09 09:36:00+00:00,2958.0,2958.39990234375,2957.050048828125,2958.10009765625,2958.10009765625,3125,1712655360,2958.3541463216147,short_entry
22,2024-04-09 09:37:00+00:00,2958.10009765625,2960.35009765625,2958.10009765625,2960.0,2960.0,3911,1712655420,2958.5208129882812,0
23,2024-04-09 09:38:00+00:00,2960.0,2960.050048828125,2959.0,2959.050048828125,2959.050048828125,10522,1712655480,2958.5249837239585,0
24,2024-04-09 09:39:00+00:00,2959.800048828125,2959.800048828125,2958.0,2959.0,2959.0,4271,1712655540,2958.8208211263022,exit
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
3,2024-04-09 09:18:00+00:00,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854,1712654280,0.0,0
4,2024-04-09 09:19:00+00:00,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262,1712654340,0.0,0
5,2024-04-09 09:20:00+00:00,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891,1712654400,0.0,exit
6,2024-04-09 09:21:00+00:00,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250,1712654460,0.0,short_entry
7,2024-04-09 09:22:00+00:00,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847,1712654520,0.0,0
8,2024-04-09 09:23:00+00:00,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485,1712654580,0.0,0
9,2024-04-09 09:24:00+00:00,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209,1712654640,0.0,exit
10,2024-04-09 09:25:00+00:00,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332,1712654700,0.0,0
11,2024-04-09 09:26:00+00:00,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561,1712654760,2962.9541829427085,short_entry
12,2024-04-09 09:27:00+00:00,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378,1712654820,2961.6541748046875,0
13,2024-04-09 09:28:00+00:00,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093,1712654880,2960.5416666666665,0
14,2024-04-09 09:29:00+00:00,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533,1712654940,2959.7083333333335,exit
15,2024-04-09 09:30:00+00:00,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834,1712655000,2958.9708251953125,long_entry
16,2024-04-09 09:31:00+00:00,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913,1712655060,2958.4124959309897,0
17,2024-04-09 09:32:00+00:00,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976,1712655120,2958.3999837239585,0
18,2024-04-09 09:33:00+00:00,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848,1712655180,2958.4291381835938,exit
19,2024-04-09 09:34:00+00:00,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036,1712655240,2958.6041463216147,0
20,2024-04-09 09:35:00+00:00,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595,1712655300,2958.4374796549478,0
21,2024-04-09 09:36:00+00:00,2958.0,2958.39990234375,2957.050048828125,2958.10009765625,2958.10009765625,3125,1712655360,2958.3541463216147,short_entry
22,2024-04-09 09:37:00+00:00,2958.10009765625,2960.35009765625,2958.10009765625,2960.0,2960.0,3911,1712655420,2958.5208129882812,0
23,2024-04-09 09:38:00+00:00,2960.0,2960.050048828125,2959.0,2959.050048828125,2959.050048828125,10522,1712655480,2958.5249837239585,0
24,2024-04-09 09:39:00+00:00,2959.800048828125,2959.800048828125,2958.0,2959.0,2959.0,4271,1712655540,2958.8208211263022,exit
25,2024-04-09 09:40:00+00:00,2958.64990234375,2961.550048828125,2958.64990234375,2961.550048828125,2961.550048828125,5360,1712655600,2959.262491861979,short_entry
0,2024-04-09 09:15:00+00:00,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0,1712654100,0.0,0
1,2024-04-09 09:16:00+00:00,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970,1712654160,0.0,0
2,2024-04-09 09:17:00+00:00,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413,1712654220,0.0,short_entry
